Status,City,State,Country,Classification,Open FDA,Product Type,Event ID,Recalling Firm,Address 1,Address 2,Postal Code,Voluntary Mandated,Initial Firm Notification,Distribution Pattern,Recall Number,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info
Terminated,Rancho Dominguez,CA,United States,Class III,{},Food,85253,"Organic By Nature, Inc.",2610 Homestead Pl,N/A,90220-5610,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","nationwide, Canada and Netherlands",F-0904-2020,"Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA",xx,Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,20200224,20200413,20210202,20200401,Lot codes: 72746,
Terminated,Brooklyn,NY,United States,Class III,{},Food,85364,Rong Shing Trading NY Inc,47 Bridgewater St # 57,N/A,11222-3820,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Unknown,F-0921-2020,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)",unknown,"Product contains dried peaches, but front labeling of product stated dried plums",20200401,20200424,20210318,20200506,UPC CODE: 6868978724496  BEST BEFORE: 11/15/2021,
Terminated,Monterey,CA,United States,Class I,{},Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,,93940-6400,Voluntary: Firm initiated,Telephone,"Canada: AB, BC, NB, ON, QC, Sk; United States: AL, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI",F-0757-2022,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,20220106,20220222,20220322,20220302,"Product codes beginning with B - Best by Dates of December 23, 2021 through January 8, 2022.",
Terminated,Lovell,WY,United States,Class II,{},Food,90158,"Queen Bee Gardens, LLC",262 E Main St,N/A,82431-2102,Voluntary: Firm initiated,Press Release,"Ten retail locations owned by Queen Bee in CO, NM, WY and nationwide via internet sales.",F-1472-2022,"Honey Caramels Blue Raspberry. Product available in 5.87 oz. bag, 1 lb. bag, 3 lb. bag, 6 lb. bag. PLU Code for 5.87 oz. bag: 788394 12675 8.",171 pieces,"Products may potentially contain one or more of the following undeclared tree nuts: Pecans, Almonds, Coconut, Macadamia Nuts, & Walnuts.",20220428,20220719,20230117,20220727,None,
Terminated,Nof Ha-Galil,,Israel,Class I,{},Food,90105,ELITE CONFECTIONERY LTD,Nazareth-Ilit,"5, Gilbo'A",N/A,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed in the US nationwide,F-1233-2022,ELITE MILK CHOCOLATE COATED RICE CAKES  UPC:815871011884	NET WT 2.47OZ (70 g),unknown,Potential contamination with Salmonella,20220428,20220604,20221103,20220615,All lots,
Ongoing,San Luis,AZ,United States,Class I,{},Food,93920,HandNatural,874 S Main St,,85349-7500,Voluntary: Firm initiated,E-Mail,Firm is  100% internet sales. Distribution is unknown at this time.,F-1170-2024,"H&NATURAL 2 PACK! BRAZIL SEED 60 PIECES, PURE NATURAL SEMILLA DE BRASIL FOR 60 DAYS, 5 GRAMS PER BOX, 2 BLACK BOXES.",,Product recalled due to the presence of yellow oleander and its components in the product.,20240209,20240416,,20240424,No Lot code on label. Expiration date listed as 05/24 and 03/24.,
Terminated,Dayton,OH,United States,Class II,{},Food,92726,Cassanos Inc,1700 E Stroop Rd,N/A,45429-5040,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to: CO, FL, IN, IL, KY, MI, OH, PA, WV",F-1354-2023,"San Marco Premium Dough on Parchment: packaged as 8in, 14in",24575 cases total,Undeclared Allergen - Soy Flour,20230718,20230802,20230927,20230809,"Lot: 159, 186 Expiration Date: 12/07/23, 01/03/24 Product No. 4226, 4227",
Terminated,Coldwater,MS,United States,Class II,{},Food,84863,Southern Sisters Gourmet,5377 Highway 306,N/A,38618-5119,Voluntary: Firm initiated,Telephone,"Distributed in the states of AL, AR, FL, GA, IL, LA, MS, OK, and TX.",F-0913-2020,"Southern Sisters Gourmet Cheddar Garlic Biscuits, Net Wt 16 oz (453.6 g)",Unknown,Undeclared allergen: Wheat  Undeclared colors: Yellow #5 and #6.,20200128,20200417,20210216,20200401,Products are not coded.,
Ongoing,Jessup,MD,United States,Class I,{},Food,93540,"TGD Cuts, LLC",8441 Dorsey Run Rd Unit B,N/A,20794-9359,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in PA, NJ, MD, WV, SC VA, DE, NC, and NY",F-0678-2024,MIX FRUIT ALOHA BOWL 3/48 OZ Packaged in clamshell container. UPC:840219170299,189 units,Potential Salmonella Contamination,20231129,20240102,,20231227,Use By Start Date: 11/2/2023  Use By End Date: 11/23/2023,
Ongoing,New Century,KS,United States,Class I,{},Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1333-2024,"Grindsted Sweetlife CINN. Roll BAS Stabilizer & Emulsifier System, 22.68 kg/ 50 lb bag",7257.60 kg,Potential Salmonella Contamination,20240503,20240606,,20240612,Lot number: 1204607256; 1204607257; 1204607258; 1204607259; 1204607260; 1204607261; 1204607262; 1204607264,
Terminated,Kansas City,KS,United States,Class I,{},Food,90164,Liberty Fruit Co Inc DBA Carol's Cuts,1251 Argentine Blvd,,66105-1508,Voluntary: Firm initiated,Telephone,"Distributed to food service locations in Kansas, Nebraska, Iowa, and Missouri.",F-1159-2022,"POTATO RUSSET QUARTERED 2/10# (01)10886810715115(10)0016086772 71511 Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Ingredients: Potato, Sodium Metabisulfite","25,433 lbs (total)",Sodium metabisulfite not declared on product label.,20220506,20220603,20221027,20220615,"Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Product #: 71511",
Terminated,Chicopee,MA,United States,Class I,{},Food,84751,Rachael's Food Corporation,705 Meadow St,N/A,01013-4820,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",MA,F-0597-2020,"Rachael's brand and Big Y brand Protein Snack Packs; containing one hard boiled egg, diced roasted turkey, and roasted almonds; packaged in 6x6 plastic containers, Net. wt. 4.25 oz.",87 protein packs,Product may be contaminated with Listeria monocytogenes.,20191231,20200204,20200325,20200212,"Production Dates: Dec 27, Dec 29, Dec 30, Jan 1  Rachael s code: 81190701592 and Big Y code: 01889490543",
Terminated,Chicago,IL,United States,Class I,{},Food,92423,"Newly Weds Foods, Inc.",8550 W Bryn Mawr Ave,Suite 100,60631-3222,Voluntary: Firm initiated,Letter,"ALABAMA, ARKANSAS, CALIFORNIA, COLORADO, FLORIDA, GEORGIA, ILLINOIS, INDIANA, IOWA, KANSAS, KENTUCKY, LOUISIANA, MICHIGAN, MINNESOTA, MISSISSIPPI, MISSOURI, MONTANA, NEBRASKA, NEW JERSEY, NEW YORK, NORTH CAROLINA, OHIO, OKLAHOMA, OREGON, PENNSYLVANIA, TENNESSEE, TEXAS ,WISCONSIN.  CANADA.",F-1039-2023,A53643	BREADER   X1	50.00	BAG,"6,465,115.78 pounds Total",Products may contain Salmonella,20230526,20230705,20240723,20230712,SE102922A SE110722A,
Terminated,Baltimore,MD,United States,Class I,{},Food,91653,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",2800 Wegworth Ln,N/A,21230-3300,Voluntary: Firm initiated,Press Release,"The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .",F-0459-2023,"Bistro To Go, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated",18 units,"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",20230203,20231017,20231017,20230322,UPC Code : 813141021144,
Terminated,Visalia,CA,United States,Class II,{},Food,89115,Livia Global,7202 W Pershing Ct,,93291-7909,Voluntary: Firm initiated,Press Release,xx,F-0358-2022,"Livia One Organic Daily Topical Spray Probiotics;   4 oz. (120 ml)  UPC: 0 30915 10710 5     Recommended use: Topical: Spray affected area 2-5 times daily as needed.     Ingredients: Proprietary probiotic blend in an enzyme enriched substrate:  Lactobacillus-Acidophilus, L. Rhamnosus, L-Salivarius, L. Casei, L-Plantarum, Lactococcus-Lactis, Streptocuccus-Thermophilus, Bifidobacterium-Bifidum, B-Lactus, B-Infantis, B-Breve, B-Longum.  Made with water and a proprietary blend of three organic grasses    Livia Global Inc., Visalia, CA.",571 bottles,Probiotic products contaminated with Pseudomonas aeruginosa .,20211201,20220102,20220429,20211222,"Lot #001005-1, BB 04/2023",
Ongoing,Charleston,SC,United States,Class II,{},Food,84523,TFI Holding dba Grey Ghost Bakery,1750 Signal Point Rd Ste 2a,N/A,29412-8056,Voluntary: Firm initiated,Letter,"Product was shipped to the following states: AL, AR, AZ, CA, CO, CT, DC, DE, FL GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI & WY.",F-0559-2020,"GREY GHOST BAKERY scratch-made cookies LEMON SUGAR NET WT 1.4 OZ (40 G), UPC 8 53152 00308 1 , 4 OZ (113 G) UPC 8 53152 00332 6 & 8 OZ (225 G) UPC 8 53152 00307 4 GREY GHOST BAKERY 1750 SIGNAL POINT RD, STE 2A CHARLESTON, SC 29412","Bulk cookies: 70 lbs, 8 oz boxes: 2899 units; 4 oz canisters: 1717 units; 1.4 oz packs: 2101 units",The product contains undeclared sulfites.,20191217,20200124,,20200115,"1612019, 1622019, 1632019, 1752019, 1772019, 1782019, 1802019, 1822019, 1892019, 1912019, 1962019, 1972019, 1982019, 2042019, 2052019, 2062019, 2082019, 2112019, 2132019, 2142019, 2192019, 2212019, 2252019, 2272019, 2282019, 2312019, 2332019, 2412019, 2542019, 2552019, 2572019, 2632019, 2682019, 2692019, 2712019, 2742019, 2752019, 2762019, 2772019, 2782019, 2822019, 2882019, 2912019, 2922019, 2952019, 2962019, 2972019, 3042019, 3062019, 3082019, 3102019, 3122019, 3172019, 3192019, 3212019, 3252019, 3282019, 3302019, 3362019, 3372019, 3382019, 3452019.",
Terminated,Mesa,AZ,United States,Class I,{},Food,89587,"Lehi Valley Trading Co, Inc",4955 E McKellips Rd,N/A,85215-2531,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide.,F-0910-2022,"Woody's Smokehouse brand Yogurt Raisins, 12.3 oz. (348g), clear plastic bag with front and back labels, UPC 0 95248 65531 0. Packed especially for Woody's Smokehouse Inc., Centerville, TX 75833, 903-536-9663, Woody's-Smokehouse.com  Texas Best Smokehouse brand Yogurt Raisins, 8 oz. (226g), clear plastic bag with front and back labels, UPC 0 95248 32055 3. Packed especially for: Texas Best Smokehouse, 3302 S Eastman Rd., Longview TX 75602.  Snack-Worthy brand Yogurt Raisins, 10 oz. (283g), clear plastic tub with front and back labels, UPC 8 79114 00668 3. Distributed by Lehi Valley Trading Company, Mesa, AZ 85215 snackworthy.com.",36 12.3 oz. bags; 24 8.0 oz. bags; 312 10 oz. tubs,Bags and tubs of yogurt covered raisins contained undeclared  peanuts.,20220211,20220328,20220519,20220406,"Woody's Smokehouse - Lot Code: 222447, Best by: August 23, 2022 Texas Best - Lot Code: 222456, August 23, 2022 Snack Worthy - Lot Code: 222268, 09/12/22",
Terminated,Caledonia,MI,United States,Class I,{},Food,92065,Caledonia Facility of Revolution Farms LLC,2901 76th St Se,N/A,49316-8399,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","MI, OH, WI",F-0829-2023,Revolution Farms Zesty Southwest 6oz salad kit in plastic container UPC 856791008240,66,Listeria monocytogenes,20230405,20230506,20230509,20230517,Sell By 3/23/23,
Terminated,Garden City,MI,United States,Class I,{},Food,87576,KAREEM MART INC,32816 Manor Park,,48135-1545,Voluntary: Firm initiated,Telephone,"The recalled  Halva  were distributed through Mediterranean food stores and wholesalers in Michigan, Illinois, Missouri, New York, Ohio, North Carolina and  Pennsylvania.  Between March 2020 to Feb 2021.",F-0377-2021,Kareem Chef Halva 1lb and 2lb sizes in plastic tub,1320 units,Salmonella,20210308,20210330,20210901,20210407,Best Before 07-01-2022,
Terminated,New York,NY,United States,Class I,{},Food,88958,HELLOFRESH US,40 W 25th St,N/A,10010-2707,Voluntary: Firm initiated,Other,Nationwide.,F-0202-2022,EveryPlate Meal Kit Product Codes 81-82-84-90-92-95-98-99 from Production Week 32 (production week start date: 08/04/2021),N/A,Products contain onions purchased from ProSource and associated with a Salmonella Oranienburg outbreak.,20211022,20211118,20220901,20211124,Production Week: 08/04/2021 EveryPlate Product Code: 81-82-84-90-92-95-98-99 (Number sequence may vary),
Ongoing,Cleveland,OH,United States,Class II,{},Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0848-2024,GRANDE     1.5OZ FRESH BOCCONCINI MOZZ 1/3#         SUPC/ITEM # 19132P,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,20240111,20240205,,20240214,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",
