Product Description,State,Total Quantity Recalled
"""Asian Avocado"" (salad product) packed in 9.7oz. packages",IL,0.0
"""COUNTY ROAD SEAFOOD Crab Cake 2 Pack 4 Ounce Allergens: Blue Crab, Soy, Wheat got to be NC SEAFOOD""",NC,0.0
"""Chopped Caesar"" (salad product) packed in 9.4oz., 10.4oz., and 10.5oz. packages",IL,0.0
"""Chopped Southwest"" (salad product) packed in 10.3oz. packages",IL,0.0
"""Organic Baby Arugula"" (salad product) packed in 5oz. and 16oz. packages",IL,0.0
"""SUNDIAL***Traditional Herbal Products***TRADITIONAL ORGANIC HERBS***DOG BLOOD***1 oz.***USES: FIBROIDS, CYST, CLEANS WOMB, WOMAN IMBALANCE, PREVENT MISCARRIAGE***""; packaged in clear plastic zip-top bag",NY,0.0
"""SUNDIAL***Traditional Herbal Products***TRADITIONAL ORGANIC HERBS***WHITE JOINTA***1 oz.***USES: NERVES, COLD, ASTHMA, BRONCHITIS, MUCOUS FEVER MENSTRUAL PROBLEMS***""; packaged in clear plastic zip-top bags",NY,0.0
(Item 195263) Wakefield Spicy Hawaiian Sliders,OH,0.0
"(Item 514711) Wakefield Bacon, Egg & Cheese Bagel",OH,0.0
(Item 551697) Wakefield Ham & Cheddar Pretzel Croissant,OH,0.0
(Item 73131) Turkey Sausage & Egg Muffin,OH,0.0
1. Dickies Seafood Cooked & Spiced Shrimp (12 oz) UPC 5240700804 Sell by 9/8/2021 & 9/12/2021. Labeled containers    2. Dickies Seafood Cooked & Spiced Shrimp (2.25 LB) UPC 5240700806 Sell by9/8/2021 & 9/12/2021.Labeled containers    3. Dickies Seafood Cooked & Spiced Shrimp (5 LB)  Sell by 9/8/2021.Sold in bags over the deli counter. Unlabeled.,VA,0.0
1. Greens Full Circle Organic Power Greens; 6x10 Clamshell; UPC: 036800490550 /  2. Greens Gaia Organic Power Greens; 8x45 clamshell; UPC: 850021494889 / 3. Greens Full Circle Organic Power Greens; 8x5 clamshell; UPC: 036800388758 / 4. Greens Solata Power Greens; 8x5 Clamshell; UPC: 854311007056 / 5. Greens Uncle Vinny's Power Greens 8x5 Clamshell; UPC: 804879503095 /,NY,0.0
"1. SALTED NUT ROLL PRE-MADE FUDGE (6SS) 6LB NET WT - not consumer package, bulk carton",NY,0.0
1. Wegmans 10oz Watermelon Chunks	  2. Wegmans 32oz Watermelon Chunks  3.Fresh Harvest 18oz Watermelon Chunks  4. Tops Large Watermelon	BBD: 3/5/22 to	BBD: 3/22/22  5. Tops Small Watermelon 	BBD: 3/5/22 to	BBD: 3/22/22  6. Lexington Co-op 10oz Watermelon Chunks  7. Lexington Co-op 32oz Watermelon Chunks  8. Wegmans 24oz Mini Watermelon Hearts	  9. EDU Kids 2 oz. watermelon tidbits,NY,0.0
"100 vegetarian  Fenugreek Capsules 90 count, 600mg, packaged in 150cc Amber Glass Packer  with White Polypropylene Cap.",NM,0.0
12pc Shrimp Tempura Kabuki Roll WR   UPC: 8 4003140626 2  Product was sold from Mai Sushi counters inside Target stores in Northern CA.,CA,0.0
"20 Mile Rhubarb, Organic Frozen Custard, Contents:  One U.S. Pint and 86 oz. Scoopers.  UPC 50005-48811.  Made by Barron County Organics, LLC, 10-Mile Organic and Local General Store, 796 29 3/4 Ave. Barronett, WI  54813.",WI,0.0
"24ct Petite Pastry Tray, plastic tray with white base and clear lid (not a scale label) (UPC: UPC 7789034215)",NY,0.0
"3 Gallon, plastic container of mint chip flavored ice cream",OH,35.0
3-ounce H-E-B Creamy Creations Ice Cream Lime/Orange Combo - 12 pack,TX,0.0
"35 lb. pail VANILLA XTRA SMOOTH BUTTERCREME FROSTING, MDM # 10203023, Manufactured by Brill Inc. Tucker, GA 30084 1 866 982 7455 OR BRILLINC.COM",UT,0.0
"365 Whole Foods Market Organic Reduced fat &Sodium Popcorn, 6 oz. bag, UPC 099482435349, 10 retail units per wholesale case",OH,0.0
"365 Whole Foods Market Ricotta Part Skim 15 oz. UPC 9-94824-63052  365 Whole Foods Market Ricotta Whole Milk 15 oz. UPC 9-94824-96245  Ricotta Part Skim 65%, 70%, 75% Moisture (bulk)",CA,0.0
365 by Whole Foods Market Organic Asian Inspired Chopped Salad Kits 12 oz plastic bags 9 bags per case UPC: 9948246932 Item#: 9770522,CA,0.0
"43058751 BREAD FLR delivered as bulk product in approximately 50,000 lbs trailers",OH,0.0
"4M DF NSA Semisweet Baking Drop (FT), Item # 56854.  Net Wt. 40 lbs. (18.14 KG) poly-lined case.   Ingredients:  Chocolate Liquor, Inulin, Erythritol, Cocoa Butter, Sunflower Lecithin (an emulsifier), Vanilla Extract, Stevia Leaf Reb M.   Distributed By:  Clasen Quality Chocolate, 5126 West Terrace Drive, Madison, WI  53718",WI,0.0
5 lb.Food Club All Purpose Flour Best if Used by 03/08/2025,OK,0.0
"5000 Years Foods NO MSG SLICED CABBAGE KIMCHI in 5GAL plastic tubs, and 128 oz, 64 oz, 32 oz, & 16 oz glass jars",IL,0.0
"7 Eleven Selects Chocolate Chip 3pack Mini Muffins - 2.6 oz., 16 units per tray, 6 trays per case; UPC: 0 52548-62095 0",NY,0.0
A21219	BATTER MIX X1	50.00	BAG,IL,0.0
A21470	BATTER MIX X1	50.00	BAG,IL,0.0
A53643	BREADER   X1	50.00	BAG,IL,0.0
A89471	BATTER MIX   X1	50.00	BAG,IL,0.0
A97176	BREADER X3	50.00	BAG,IL,0.0
AF01886 NTFA No egg Ready-to-Eat Chocolate Chip Cookie Dough Dough-  20 lb. sold frozen,VT,0.0
"Abbott Alimentum, Abbott Similac Alimentum, Abbott Similac Alimentum HMO, Abbott  Alimentum Similac, Abbott Similac Gold Alimentum HMO 400g can.  6 cans per case.    Item numbers:  674845  6748406  6748408  6748412  6748425  6748426  6748430  6748453  6748484    Retail UPCs:   0070074122250  8699548994869  070074122311  0070074124131  070074122359  070074122274  070074123349  070074123325",IL,0.0
"Abbott Similac Advance Infant Formula with Iron 12.4oz. can, 23.2oz. plastic jar, 20.6oz. plastic jar. 6 units per case.      Abbott Similac Pro-Advance 34oz. plastic jar. 6 jars per case.      Item numbers:  53359  68084  5595776  6748701    Retail UPCs:   070074533605  070074680859  070074559582  070074122373",IL,0.0
Acorn Raspberry Creme Filled Cookie found in gift basket:  #197 Gourmet Bakery Basket,CA,0.0
"Alida's Samoon Pita Bread, 4 pieces per package, net wt. 21 oz.  UPC 8 60004 65933 4.  Product contains ingredients: While Flour, Water, Wheat Gluten, Yeast, Sorbitan monostearate, ascorbic acid, Salt, Canola Oil. CONTAINS: Wheat, Gluten.",WA,0.0
